            ASDEX Upgrade toroidal field coils         
            ----------------------------------         
 main_symmetry:              'stellarator symmetry'    
 number of possible periods:  np_mpos                  
                                5                      
 possible period numbers:     mpo(i=1,np_mpos)         
                                1   2   4   8   16     
    nspul_main    iseg_main   np_main                  
         4            106             16     
x [m]           y [m]             z [m]           I [MA]
 2.953407    -0.006000     0.305660     0.300000    
 2.939236    -0.006000     0.381066     0.300000    
 2.921969    -0.006000     0.455809     0.300000    
 2.901637    -0.006000     0.529768     0.300000    
 2.878239    -0.006000     0.602928     0.300000    
 2.878267    -0.006000     0.602821     0.300000    
 2.851048    -0.006000     0.676805     0.300000    
 2.820561    -0.006000     0.749466     0.300000    
 2.786846    -0.006000     0.820708     0.300000    
 2.749983    -0.006000     0.890359     0.300000    
 2.710041    -0.006000     0.958296     0.300000    
 2.667098    -0.006000     1.024382     0.300000    
 2.621246    -0.006000     1.088475     0.300000    
 2.621325    -0.006000     1.088361     0.300000    
 2.569558    -0.006000     1.153787     0.300000    
 2.514512    -0.006000     1.216350     0.300000    
 2.456292    -0.006000     1.275947     0.300000    
 2.395037    -0.006000     1.332434     0.300000    
 2.330916    -0.006000     1.385655     0.300000    
 2.264094    -0.006000     1.435469     0.300000    
 2.264268    -0.006000     1.435361     0.300000    
 2.191485    -0.006000     1.483384     0.300000    
 2.115917    -0.006000     1.526700     0.300000    
 2.037807    -0.006000     1.565183     0.300000    
